,time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
346,346,261.454238233,9.070679,0.0,0.0,252.383559233,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
347,347,260.60551159700003,10.151358,0.0,0.0,250.45415359700004,40.0,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
348,348,259.890717557,17.5276,33.5898584160576,0.0,275.9529759730576,68.551379653649,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
349,349,249.580937632,14.348464,91.0328383674122,0.0,326.2653119994122,145.929292265949,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
350,350,249.97539391,2.4552680000000002,78.7451860894122,0.0,326.26531199941223,212.86270044195,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
351,351,252.840518197,0.799224,74.2240178024122,0.0,326.2653119994122,275.953115574,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
352,352,276.423859817,1.310149,51.1516011824123,0.0,326.2653119994123,319.431976579051,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
353,353,318.999274992,1.076058,8.34209500741224,0.0,326.26531199941223,326.522757335351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
354,354,386.081476975,0.0,0.0,59.8161649755878,326.2653119994122,266.706592359763,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
355,355,390.28227761,0.0,0.0,64.0169656105878,326.2653119994122,202.689626749175,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
