Node ID,Node Name,Zone ID,Reserve ID
10888,LD.KILVERT 12.5,4005,7000
13951,LD.KIMBL_RD34.5,4001,7000
448,UN.KING_ST 23  IPSD,4008,7003
4347,LD.KING_ST 23,4008,7003
4235,LD.KINGSTON23,4006,7000
4416,LD.KNGSTNPS34.5,4002,7000
4874,LD.KNGSTNAB13.8110A LD,4008,7003
4876,LD.KNGSTNAB13.8110B LD,4008,7003
47742,LD.KNGSTNUT34.5,4002,7000
14614,UN.KLEEN   18.0KLEN,4004,7002
4393,LD.LACONIA 34.5,4002,7000
1342,UN.LAKE_RD 21  LRD1,4004,7002
1343,UN.LAKE_RD 21  LRD2,4004,7002
1344,UN.LAKE_RD 21  LRD3,4004,7002
617,UN.LAKEWOOD34.5WEST,4001,7000
4157,LD.LAKEWOOD34.5,4001,7000
4263,LD.LAUREL_C13.8,4007,7000
482,UN.LAUREL  22  MID4,4004,7002
12505,UN.LAUREL  13.8MI12,4004,7002
37366,UN.LAUREL  13.8MI13,4004,7002
37367,UN.LAUREL  13.8MI14,4004,7002
37368,UN.LAUREL  13.8MI15,4004,7002
4378,LD.LAWRENCE34.5,4002,7000
39676,LD.LEEDS_ME34.5,4001,7000
461,UN.LENERGIA13.8LENR,4007,7000
495,UN.MIDDLEST34.5MONY,4001,7000
4172,LD.LEWSTN_L34.5,4001,7000
46637,LD.LEWSTN_L12.5,4001,7000
4085,LD.LEXINGTN13.8,4008,7003
36893,LD.LIMEKILN34.5,4003,7000
4283,LD.LINCOLN 12.5,4005,7000
4144,LD.LINCOLNV34.5,4001,7000
462,UN.LISBON  115 LISB,4004,7002
4328,LD.LITCHFLD13.8,4007,7000
4317,LD.LITTLRST13.2,4007,7000
44030,UN.LITTLRST13.2WRNS,4007,7000
4484,LD.LITTLTN 25,4007,7000
463,UN.LVER-AEI115 LIVR,4001,7000
4161,LD.LVERMORE12.5,4001,7000
4410,LD.LONGHILL34.5,4002,7000
464,UN.LOSTNATN34.5LOST,4002,7000
4381,LD.LOSTNATN34.5,4002,7000
369,UN.LOUDEN  34.5CATR,4001,7000
569,UN.LOUDEN  34.5SKEL,4001,7000
754,UN.LOUDEN  34.5BARM,4001,7000
