,month,day,hour,insolation_pu
5656,8,24,16,0.2602680389877369
5657,8,24,17,0.1101841194718584
5658,8,24,18,0.00024363877588153175
5659,8,24,19,0.0
5660,8,24,20,0.0
5661,8,24,21,0.0
5662,8,24,22,0.0
5663,8,24,23,0.0
5664,8,24,24,0.0
5665,8,25,1,0.0
5666,8,25,2,0.0
5667,8,25,3,0.0
5668,8,25,4,0.0
5669,8,25,5,0.0
5670,8,25,6,0.09972248303446382
5671,8,25,7,0.25335805417458085
5672,8,25,8,0.40560095449366873
5673,8,25,9,0.5202942654590377
5674,8,25,10,0.5907525294741786
5675,8,25,11,0.6286403413847858
5676,8,25,12,0.64699418002206
5677,8,25,13,0.6171259817889815
5678,8,25,14,0.5309184585741084
5679,8,25,15,0.413616703019512
5680,8,25,16,0.26340518539187924
5681,8,25,17,0.10236246195946556
5682,8,25,18,5.2666301409117195e-05
5683,8,25,19,0.0
5684,8,25,20,0.0
5685,8,25,21,0.0
5686,8,25,22,0.0
5687,8,25,23,0.0
5688,8,25,24,0.0
5689,8,26,1,0.0
5690,8,26,2,0.0
5691,8,26,3,0.0
5692,8,26,4,0.0
5693,8,26,5,0.0
5694,8,26,6,0.09768605855766058
5695,8,26,7,0.2554464703900729
5696,8,26,8,0.40036529995322345
5697,8,26,9,0.5176166432149475
5698,8,26,10,0.5819947469294717
5699,8,26,11,0.609795994618615
5700,8,26,12,0.6213121125035668
5701,8,26,13,0.594082965247323
5702,8,26,14,0.5284113851184078
5703,8,26,15,0.41973392828873635
5704,8,26,16,0.2707274404390943
5705,8,26,17,0.10056909500520929
5706,8,26,18,9.291001004383276e-08
5707,8,26,19,0.0
5708,8,26,20,0.0
5709,8,26,21,0.0
5710,8,26,22,0.0
5711,8,26,23,0.0
5712,8,26,24,0.0
5713,8,27,1,0.0
5714,8,27,2,0.0
5715,8,27,3,0.0
5716,8,27,4,0.0
5717,8,27,5,0.0
5718,8,27,6,0.09744489185984322
5719,8,27,7,0.26261961918005927
5720,8,27,8,0.4275040457016416
5721,8,27,9,0.5596606286158079
5722,8,27,10,0.6367076663794089
5723,8,27,11,0.6749647987907786
5724,8,27,12,0.6709886822201532
5725,8,27,13,0.6358795457148916
5726,8,27,14,0.5482619136574237
5727,8,27,15,0.42276968568460194
5728,8,27,16,0.26084820221206084
5729,8,27,17,0.09442141041140621
5730,8,27,18,0.0
5731,8,27,19,0.0
5732,8,27,20,0.0
5733,8,27,21,0.0
5734,8,27,22,0.0
5735,8,27,23,0.0
5736,8,27,24,0.0
5737,8,28,1,0.0
5738,8,28,2,0.0
5739,8,28,3,0.0
5740,8,28,4,0.0
5741,8,28,5,0.0
5742,8,28,6,0.09291083966167928
5743,8,28,7,0.2535220884863461
5744,8,28,8,0.4107273729868179
5745,8,28,9,0.5148600837116387
5746,8,28,10,0.5980957318011234
5747,8,28,11,0.6104159071955364
5748,8,28,12,0.5765574110253004
5749,8,28,13,0.498875056178611
5750,8,28,14,0.40981302740548103
5751,8,28,15,0.3163727745911968
5752,8,28,16,0.19867148424754477
5753,8,28,17,0.07507008839500943
5754,8,28,18,0.0
5755,8,28,19,0.0
5756,8,28,20,0.0
5757,8,28,21,0.0
5758,8,28,22,0.0
5759,8,28,23,0.0
5760,8,28,24,0.0
5761,8,29,1,0.0
5762,8,29,2,0.0
5763,8,29,3,0.0
5764,8,29,4,0.0
5765,8,29,5,0.0
5766,8,29,6,0.08642562483457447
5767,8,29,7,0.23004135535134046
5768,8,29,8,0.33881879459244457
5769,8,29,9,0.4551668476358885
5770,8,29,10,0.5326335092401133
5771,8,29,11,0.5651596026774598
5772,8,29,12,0.5793210721770713
5773,8,29,13,0.5623173276962029
5774,8,29,14,0.4944651327145727
5775,8,29,15,0.38609572519004365
5776,8,29,16,0.229502647498314
5777,8,29,17,0.08145576430476928
5778,8,29,18,0.0
5779,8,29,19,0.0
5780,8,29,20,0.0
5781,8,29,21,0.0
5782,8,29,22,0.0
5783,8,29,23,0.0
5784,8,29,24,0.0
5785,8,30,1,0.0
5786,8,30,2,0.0
5787,8,30,3,0.0
5788,8,30,4,0.0
5789,8,30,5,0.0
5790,8,30,6,0.10360717832028304
5791,8,30,7,0.28722911394473105
5792,8,30,8,0.451506725560433
5793,8,30,9,0.5667113529025891
5794,8,30,10,0.6248904817605528
5795,8,30,11,0.6424185351240229
5796,8,30,12,0.6384493075510999
5797,8,30,13,0.6011752728992114
5798,8,30,14,0.5219103352890504
5799,8,30,15,0.40571268217839984
5800,8,30,16,0.2455897060555754
5801,8,30,17,0.08417950123833694
5802,8,30,18,0.0
5803,8,30,19,0.0
5804,8,30,20,0.0
5805,8,30,21,0.0
5806,8,30,22,0.0
5807,8,30,23,0.0
5808,8,30,24,0.0
5809,8,31,1,0.0
5810,8,31,2,0.0
5811,8,31,3,0.0
5812,8,31,4,0.0
5813,8,31,5,0.0
5814,8,31,6,0.09102148617146355
5815,8,31,7,0.24885675915742
5816,8,31,8,0.3907302842036018
